Potencia,Euler calculado,Erro (%)
0,2.0000000000000,0.2642411176570
1,2.5937424601000,0.0458154732360
2,2.7048138294220,0.0049545999600
3,2.7169239322360,0.0004995421040
4,2.7181459268250,0.0000499954170
5,2.7182682371740,0.0000049999540
6,2.7182804693190,0.0000005000000
7,2.7182816925440,0.0000000500000
8,2.7182818148810,0.0000000049950
9,2.7182818271430,0.0000000004840
10,2.7182818292500,0.0000000002910
11,2.7182818175840,0.0000000040010
12,2.7182818175960,0.0000000039960
13,2.7182812281640,0.0000002208360
14,2.7182900696780,0.0000030317750
15,2.7181721851940,0.0000403355030
16,2.7172882145060,0.0003655301460
17,2.7114024186340,0.0025307934420
18,2.6532411158120,0.0239271410220
19,2.9570796378580,0.0878488046750
20,1.0000000000000,0.6321205588290
21,1.0000000000000,0.6321205588290
22,1.0000000000000,0.6321205588290
23,1.0000000000000,0.6321205588290
24,1.0000000000000,0.6321205588290
25,1.0000000000000,0.6321205588290
26,1.0000000000000,0.6321205588290
27,1.0000000000000,0.6321205588290
28,1.0000000000000,0.6321205588290
29,1.0000000000000,0.6321205588290
30,1.0000000000000,0.6321205588290
31,1.0000000000000,0.6321205588290
32,1.0000000000000,0.6321205588290
